ID  Topic Name                                      Epoch Duration       Effective Yield       Weight
--  ----------------------------------------------  -------------------  --------------------  -----------------------------
1   ETH 10min Prediction                            120                  2,140,824,216,520     15,882,202,308,478,737.95
2   ETH 24h Prediction                              17,280               103,081,432,707,138   5,086,713,410,821.69
3   BTC 10min Prediction                            120                  2,110,941,803,921     955,201,519,225,153.15
4   BTC 24h Prediction                              17,280               119,169,932,807,469   39,740,778,105.67
5   SOL 10min Prediction                            120                  2,113,067,367,195     12,634,732,566,614,843.56
6   SOL 24h Prediction                              17,280               112,878,482,259,379   1,315,058,686,451,962.95
7   ETH 20min Prediction                            240                  33,450,451,175,693    7,676,056,425,524,839.44
8   BNB 20min Prediction                            240                  35,510,522,618,422    39,467,242,159,264,167.02
9   ARB 20min Prediction                            240                  34,458,214,517,458    40,332,536,851,420,518.42
10  Memecoin 1h Prediction                          720                  56,314,401,464,187    32,492,600,494,994,723.94
11  US Presidential Election 2024 - Winning Party   17,280               4,590,995,545,580     1,113,941,617,278,117.05
